filename,prompt
하나님.png,"Premium 3D modern icon of the Almighty God, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
예수.png,"Premium 3D modern icon of Jesus Christ, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
그리스도.png,"Premium 3D modern icon of the Christ, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
성령.png,"Premium 3D modern icon of the Holy Spirit, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
천사.png,"Premium 3D modern icon of a holy Angel, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
보좌.png,"Premium 3D modern icon of a majestic Throne, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
짐승.png,"Premium 3D modern icon of the apocalyptic Beast, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
인.png,"Premium 3D modern icon of a divine Seal, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
어린양.png,"Premium 3D modern icon of the Lamb of God, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
생물.png,"Premium 3D modern icon of a living Creature, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
나팔.png,"Premium 3D modern icon of a golden Trumpet, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
성전.png,"Premium 3D modern icon of a holy Temple, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
용.png,"Premium 3D modern icon of a fierce Dragon, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
교회.png,"Premium 3D modern icon of a glowing Church, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
면류관.png,"Premium 3D modern icon of a royal Crown, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
대접.png,"Premium 3D modern icon of a golden Bowl, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
장로.png,"Premium 3D modern icon of a wise Elder, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
땅.png,"Premium 3D modern icon of the Earth, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
하늘.png,"Premium 3D modern icon of the Heaven, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
바다.png,"Premium 3D modern icon of the raging Sea, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
피.png,"Premium 3D modern icon of crimson Blood, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
책.png,"Premium 3D modern icon of a holy Book, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
두루마리.png,"Premium 3D modern icon of an ancient Scroll, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
불.png,"Premium 3D modern icon of blazing Fire, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
금.png,"Premium 3D modern icon of pure Gold, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
옷.png,"Premium 3D modern icon of holy Garments, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
세마포.png,"Premium 3D modern icon of white Linen, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
눈.png,"Premium 3D modern icon of a piercing Eye, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
발.png,"Premium 3D modern icon of holy Feet, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
해.png,"Premium 3D modern icon of the Sun, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
태양.png,"Premium 3D modern icon of the Sun, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
별.png,"Premium 3D modern icon of a glowing Star, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
연기.png,"Premium 3D modern icon of rising Smoke, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
문.png,"Premium 3D modern icon of a heavenly Door, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
향로.png,"Premium 3D modern icon of a golden Censer, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
향.png,"Premium 3D modern icon of holy Incense, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
뿔.png,"Premium 3D modern icon of a strong Horn, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
포도주.png,"Premium 3D modern icon of red Wine, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
물.png,"Premium 3D modern icon of living Water, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
강.png,"Premium 3D modern icon of a flowing River, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
낫.png,"Premium 3D modern icon of a sharp Sickle, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
구름.png,"Premium 3D modern icon of a divine Cloud, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
나무.png,"Premium 3D modern icon of the Tree of Life, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
거문고.png,"Premium 3D modern icon of a heavenly Harp, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
보석.png,"Premium 3D modern icon of precious Jewels, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
꼬리.png,"Premium 3D modern icon of a dragon's Tail, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
우상.png,"Premium 3D modern icon of a golden Idol, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
진노.png,"Premium 3D modern icon of divine Wrath, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
사망.png,"Premium 3D modern icon of the grim Reaper, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
권세.png,"Premium 3D modern icon of divine Authority, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
영광.png,"Premium 3D modern icon of divine Glory, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
나라.png,"Premium 3D modern icon of a heavenly Kingdom, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
만국.png,"Premium 3D modern icon of all Nations, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
심판.png,"Premium 3D modern icon of divine Judgment, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
재앙.png,"Premium 3D modern icon of apocalyptic Plague, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
이적.png,"Premium 3D modern icon of a divine Miracle, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
음행.png,"Premium 3D modern icon of sinful Fornication, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
생명.png,"Premium 3D modern icon of the essence of Life, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
노래.png,"Premium 3D modern icon of a heavenly Song, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
환난.png,"Premium 3D modern icon of great Tribulation, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
전쟁.png,"Premium 3D modern icon of a holy War, glowing divine light, soft glassmorphism style, minimalist modern mobile game UI, isolated on solid white background"
